"unifiedcl"|"rvindicator"|"chkey"|"chunifiedkey"
"ML"|"Yes"|72025149|133852534
"SM"|"No "|72025149|133852535
"CL"|"Yes"|72025154|133852543
"CH"|"No "|72025154|133852544
"CL"|"Yes"|72025052|133852346
"CL-ML"|"No "|72025052|133852347
"CL-ML"|"No "|72025050|133852341
"ML"|"Yes"|72025050|133852342
"SM"|"No "|72025050|133852343
"CH"|"No "|72025053|133852348
"CL"|"Yes"|72025053|133852349
"CL"|"Yes"|72025051|133852344
"CL-ML"|"No "|72025051|133852345
"CL-ML"|"No "|72025049|133852338
"ML"|"Yes"|72025049|133852339
"SM"|"No "|72025049|133852340
"CH"|"Yes"|72025054|133852350
"CH"|"Yes"|72025059|133852360
"CL"|"No "|72025059|133852361
"CL"|"No "|72025058|133852357
"CL-ML"|"No "|72025058|133852358
"ML"|"Yes"|72025058|133852359
"ML"|"No "|72025056|133852353
"CL"|"Yes"|72025056|133852354
"CL"|"No "|72025057|133852355
"ML"|"Yes"|72025057|133852356
"ML"|"No "|72025055|133852351
"CL"|"Yes"|72025055|133852352
"CL"|"Yes"|72025062|133852368
"CH"|"No "|72025062|133852369
"CL-ML"|"No "|72025060|133852362
"ML"|"Yes"|72025060|133852363
"SM"|"No "|72025060|133852364
"CL-ML"|"No "|72025061|133852365
"ML"|"Yes"|72025061|133852366
"SM"|"No "|72025061|133852367
"CH"|"Yes"|72025064|133852372
"CH"|"No "|72025063|133852370
"CL"|"Yes"|72025063|133852371
"CL"|"Yes"|72025070|133852382
"CH"|"No "|72025070|133852383
"SM"|"No "|72025065|133852373
"ML"|"Yes"|72025065|133852374
"SM"|"No "|72025066|133852375
"CL-ML"|"No "|72025066|133852376
"ML"|"Yes"|72025066|133852377
"CL"|"Yes"|72025068|133852379
"CL"|"No "|72025069|133852380
"CH"|"Yes"|72025069|133852381
"CL"|"Yes"|72025067|133852378
"CL"|"Yes"|72025071|133852384
"CH"|"No "|72025071|133852385
"SM"|"Yes"|72024720|133851694
"SC-SM"|"No "|72024720|133851695
"SC-SM"|"Yes"|72024721|133851696
"SM"|"No "|72024721|133851697
"SC-SM"|"Yes"|72024722|133851698
"SM"|"No "|72024722|133851699
"CL"|"No "|72051476|133902650
"SC"|"Yes"|72051476|133902651
"SC-SM"|"No "|72051477|133902652
"SC"|"Yes"|72051477|133902653
"SC"|"No "|72051857|133903432
"CL"|"Yes"|72051857|133903433
"SC-SM"|"No "|72051856|133903430
"SC"|"Yes"|72051856|133903431
"ML"|"Yes"|72051538|133902777
"CL-ML"|"No "|72051538|133902778
"SM"|"No "|72051538|133902779
"ML"|"Yes"|72051537|133902775
"CL-ML"|"No "|72051537|133902776
"CL"|"Yes"|72051539|133902780
"SC"|"Yes"|72051540|133902781
"CL"|"No "|72051540|133902782
"SM"|"No "|72051540|133902783
"CL"|"Yes"|72052015|133903746
"SC"|"Yes"|72052016|133903747
"CL"|"No "|72052016|133903748
"SM"|"No "|72052016|133903749
"ML"|"Yes"|72052013|133903741
"CL-ML"|"No "|72052013|133903742
"ML"|"Yes"|72052014|133903743
"CL-ML"|"No "|72052014|133903744
"SM"|"No "|72052014|133903745
"SC-SM"|"No "|72051556|133902818
"SM"|"Yes"|72051556|133902819
"SM"|"Yes"|72051555|133902816
"SC-SM"|"No "|72051555|133902817
"SM"|"Yes"|72051557|133902820
"SC-SM"|"No "|72051557|133902821
"SM"|"Yes"|72051542|133902786
"SM"|"Yes"|72051541|133902784
"CL-ML"|"No "|72051541|133902785
"SM"|"Yes"|72051543|133902787
"ML"|"No "|72051543|133902788
"CL-ML"|"Yes"|72051892|133903507
"SM"|"No "|72051892|133903508
"CL"|"No "|72051892|133903509
"SC-SM"|"No "|72051893|133903510
"CL"|"No "|72051893|133903511
"SC"|"Yes"|72051893|133903512
"SC-SM"|"No "|72051894|133903513
"CL"|"Yes"|72051894|133903514
"SC"|"No "|72051894|133903515
"CL"|"No "|72051895|133903516
"SC"|"Yes"|72051895|133903517
"SC-SM"|"No "|72051895|133903518
"SM"|"No "|72051891|133903504
"SC-SM"|"Yes"|72051891|133903505
"CL"|"No "|72051891|133903506
"CL"|"Yes"|72051896|133903519
"MH"|"Yes"|72051884|133903487
"SC"|"No "|72051884|133903488
"ML"|"Yes"|72051886|133903491
"MH"|"No "|72051886|133903492
"SC-SM"|"No "|72051886|133903493
"SM"|"Yes"|72051883|133903485
"CL-ML"|"No "|72051883|133903486
"SM"|"Yes"|72051885|133903489
"CL-ML"|"No "|72051885|133903490
"SC"|"Yes"|72051719|133903160
"CL"|"No "|72051719|133903161
"SC-SM"|"Yes"|72051717|133903155
"CL"|"No "|72051717|133903156
"SM"|"No "|72051717|133903157
"SC"|"No "|72051718|133903158
"CH"|"Yes"|72051718|133903159
"CL"|"Yes"|72051675|133903063
"SC-SM"|"No "|72051675|133903064
"CH"|"Yes"|72051674|133903061
"SC"|"No "|72051674|133903062
"SM"|"Yes"|72051676|133903065
"ML"|"No "|72051676|133903066
"SC-SM"|"No "|72051490|133902682
"CL"|"Yes"|72051490|133902683
"SM"|"Yes"|72051487|133902676
"SC-SM"|"No "|72051487|133902677
"SC-SM"|"No "|72051488|133902678
"SM"|"Yes"|72051488|133902679
"SC"|"No "|72051489|133902680
"MH"|"Yes"|72051489|133902681
"CL"|"No "|72051492|133902687
"SC"|"Yes"|72051492|133902688
"SC-SM"|"No "|72051492|133902689
"SC"|"Yes"|72051491|133902684
"SC-SM"|"No "|72051491|133902685
"CL"|"No "|72051491|133902686
"SC-SM"|"Yes"|72052067|133903853
"SC"|"No "|72052067|133903854
"SM"|"No "|72052067|133903855
"SC-SM"|"Yes"|72052069|133903859
"SC"|"No "|72052069|133903860
"SM"|"No "|72052069|133903861
"SC"|"Yes"|72052068|133903856
"CL"|"No "|72052068|133903857
"SC-SM"|"No "|72052068|133903858
"SC"|"No "|72052151|133904037
"SM"|"No "|72052151|133904038
"SC-SM"|"Yes"|72052151|133904039
"SM"|"No "|72052150|133904034
"SC-SM"|"Yes"|72052150|133904035
"SC"|"No "|72052150|133904036
"SC"|"Yes"|72052149|133904031
"CL"|"No "|72052149|133904032
"SC-SM"|"No "|72052149|133904033
"CL"|"Yes"|72051678|133903070
"CH"|"No "|72051678|133903071
"CL-ML"|"Yes"|72051677|133903067
"CL"|"No "|72051677|133903068
"ML"|"No "|72051677|133903069
"CL"|"Yes"|72051680|133903074
"CH"|"No "|72051680|133903075
"CL"|"Yes"|72051679|133903072
"CH"|"No "|72051679|133903073
"CH"|"No "|72051978|133903678
"CL"|"Yes"|72051978|133903679
"CL-ML"|"No "|72051976|133903674
"CL"|"Yes"|72051976|133903675
"CL"|"Yes"|72051977|133903676
"CL-ML"|"No "|72051977|133903677
"CH"|"No "|72051961|133903641
"CL"|"Yes"|72051961|133903642
"CL"|"Yes"|72051960|133903639
"SC"|"No "|72051960|133903640
"CL"|"No "|72051962|133903643
"CH"|"Yes"|72051962|133903644
"CL"|"No "|72051963|133903645
"CH"|"Yes"|72051963|133903646
"CL"|"No "|72051964|133903647
"CH"|"Yes"|72051964|133903648
"ML"|"Yes"|72051681|133903076
"CL-ML"|"No "|72051681|133903077
"CL"|"Yes"|72051682|133903078
"CL-ML"|"Yes"|72051683|133903079
"CL"|"No "|72051683|133903080
"SM"|"No "|72051683|133903081
"CL"|"Yes"|72051685|133903085
"SC"|"No "|72051685|133903086
"CL-ML"|"Yes"|72051684|133903082
"CL"|"No "|72051684|133903083
"SM"|"No "|72051684|133903084
"SC-SM"|"Yes"|72052100|133903921
"CL"|"No "|72052100|133903922
"SM"|"No "|72052100|133903923
"CL"|"Yes"|72052101|133903924
"SC-SM"|"No "|72052101|133903925
"CL"|"Yes"|72052102|133903926
"SC-SM"|"No "|72052102|133903927
"SP-SM"|"Yes"|72051855|133903429
"SC-SM"|"No "|72051853|133903423
"SP-SM"|"Yes"|72051853|133903424
"SM"|"No "|72051853|133903425
"SM"|"No "|72051854|133903426
"SP-SM"|"Yes"|72051854|133903427
"SC-SM"|"No "|72051854|133903428
"SM"|"Yes"|72052017|133903750
"ML"|"No "|72052017|133903751
"CL"|"Yes"|72052019|133903755
"CH"|"No "|72052019|133903756
"SC"|"No "|72052019|133903757
