"aashtocl"|"rvindicator"|"chkey"|"chaashtokey"
"A-6"|"No "|72051679|117743644
"A-6"|"No "|72051978|117744177
"A-7-6"|"Yes"|72051978|117744178
"A-4"|"No "|72051976|117744172
"A-6"|"Yes"|72051976|117744173
"A-4"|"No "|72051977|117744174
"A-6"|"Yes"|72051977|117744175
"A-7-6"|"No "|72051977|117744176
"A-7-6"|"Yes"|72051961|117744146
"A-7-6"|"No "|72051960|117744144
"A-6"|"Yes"|72051960|117744145
"A-7-6"|"Yes"|72051962|117744147
"A-7-6"|"Yes"|72051963|117744148
"A-7-6"|"Yes"|72051964|117744149
"A-4"|"Yes"|72051681|117743647
"A-6"|"Yes"|72051682|117743648
"A-4"|"No "|72051682|117743649
"A-4"|"Yes"|72051683|117743650
"A-6"|"Yes"|72051685|117743652
"A-4"|"No "|72051685|117743653
"A-4"|"Yes"|72051684|117743651
"A-4"|"Yes"|72052100|117744397
"A-6"|"No "|72052100|117744398
"A-2-4"|"No "|72052100|117744399
"A-4"|"Yes"|72052101|117744400
"A-6"|"No "|72052101|117744401
"A-4"|"Yes"|72052102|117744402
"A-6"|"No "|72052102|117744403
"A-3"|"No "|72051855|117743955
"A-2-4"|"Yes"|72051855|117743956
"A-3"|"No "|72051853|117743951
"A-2-4"|"Yes"|72051853|117743952
"A-3"|"No "|72051854|117743953
"A-2-4"|"Yes"|72051854|117743954
"A-4"|"Yes"|72052017|117744250
"A-2-4"|"No "|72052017|117744251
"A-7-6"|"Yes"|72052019|117744254
"A-6"|"No "|72052019|117744255
"A-4"|"Yes"|72052018|117744252
"A-1-b"|"No "|72052018|117744253
"A-7-6"|"No "|72051975|117744170
"A-6"|"Yes"|72051975|117744171
"A-4"|"Yes"|72051970|117744158
"A-2-4"|"No "|72051970|117744159
"A-6"|"No "|72051970|117744160
"A-6"|"No "|72051974|117744168
"A-7-6"|"Yes"|72051974|117744169
"A-4"|"Yes"|72051972|117744164
"A-2-4"|"No "|72051972|117744165
"A-6"|"No "|72051972|117744166
"A-6"|"Yes"|72051971|117744161
"A-2-6"|"No "|72051971|117744162
"A-7-6"|"No "|72051971|117744163
"A-7-6"|"Yes"|72051973|117744167
"A-6"|"Yes"|72051547|117743404
"A-7-6"|"No "|72051547|117743405
"A-4"|"No "|72051547|117743406
"A-7-6"|"Yes"|72051545|117743401
"A-7-6"|"Yes"|72051546|117743402
"A-6"|"No "|72051546|117743403
"A-4"|"Yes"|72051544|117743400
"A-4"|"Yes"|72052020|117744256
"A-1-b"|"No "|72052020|117744257
"A-7-6"|"Yes"|72052021|117744258
"A-7-6"|"Yes"|72052022|117744259
"A-6"|"No "|72052022|117744260
"A-6"|"Yes"|72052023|117744261
"A-7-6"|"No "|72052023|117744262
"A-4"|"No "|72052023|117744263
"A-7-6"|"Yes"|72051548|117743407
"A-6"|"No "|72051548|117743408
"A-7-6"|"Yes"|72051549|117743409
"A-6"|"Yes"|72051550|117743410
"A-7-6"|"No "|72051550|117743411
"A-4"|"No "|72051550|117743412
